"ISP_COMID","Location","Canopy_Mean","Canopy_SD"
"ISP_MILLER","Center",16.4772727272727,0.927327652479346
"ISP_MILLER","RB",16.7272727272727,0.646669790682863
"ISP_MOLASSES","All",16.5909090909091,1.02247471629109
"ISP_MOLASSES","LB",16.8181818181818,0.603022689155527
"ISP_MOLASSES","Center",16.4772727272727,1.17113811398554
"ISP_MOLASSES","RB",16.8181818181818,0.603022689155527
"ISP_NORTH","All",10.1515151515152,6.09979173476105
"ISP_NORTH","LB",14.3636363636364,3.47196564708602
"ISP_NORTH","Center",7.54545454545455,5.57174994620201
"ISP_NORTH","RB",16.3636363636364,2.11057941204435
"ISP_OLSON","All",16.6363636363636,1.09032618459394
"ISP_OLSON","LB",17,0
"ISP_OLSON","Center",16.5,1.2849757938178
"ISP_OLSON","RB",16.8181818181818,0.603022689155527
"ISP_PATTERSON","All",13.1818181818182,5.98436190521491
"ISP_PATTERSON","LB",17,0
"ISP_PATTERSON","Center",11.2727272727273,6.55340719606057
"ISP_PATTERSON","RB",17,0
"ISP_PIPERS","All",16.1818181818182,1.33484762494383
"ISP_PIPERS","LB",16.2727272727273,1.27207775634268
"ISP_PIPERS","Center",16.0681818181818,1.45310777257969
"ISP_PIPERS","RB",16.5454545454545,0.820199532264724
"ISP_RAVENSDALE","All",13.8787878787879,3.94779452163883
"ISP_RAVENSDALE","LB",16.8181818181818,0.603022689155527
"ISP_RAVENSDALE","Center",12.3863636363636,4.0761125409008
"ISP_RAVENSDALE","RB",16.9090909090909,0.301511344577764
"ISP_ROCK","All",16.3636363636364,0.938679328162116
"ISP_ROCK","LB",16.8181818181818,0.404519917477945
"ISP_ROCK","Center",16.1590909090909,1.05528970602217
"ISP_ROCK","RB",16.7272727272727,0.467099366496914
"ISP_SHINGLEMILL","All",14.8939393939394,2.83456027184675
"ISP_SHINGLEMILL","LB",15.0909090909091,3.6456699097572
"ISP_SHINGLEMILL","Center",14.4545454545455,2.80741994816018
"ISP_SHINGLEMILL","RB",16.4545454545455,1.21355975243384
"ISP_SWAMP","All",13.2121212121212,5.51784559829469
"ISP_SWAMP","LB",17,0
"ISP_SWAMP","Center",11.3636363636364,5.95756665282336
"ISP_SWAMP","RB",16.8181818181818,0.404519917477945
"ISP_TAHLEQUAH","All",16.7121212121212,0.779845182173044
"ISP_TAHLEQUAH","LB",16.6363636363636,0.674199862463242
"ISP_TAHLEQUAH","Center",16.7045454545455,0.851252031505152
"ISP_TAHLEQUAH","RB",16.8181818181818,0.603022689155527
"ISP_TAYLOR","All",16.2121212121212,1.37578119364014
"ISP_TAYLOR","LB",16.6363636363636,0.504524979109513
"ISP_TAYLOR","Center",15.9090909090909,1.58214134872877
"ISP_TAYLOR","RB",17,0
"ISP_THORNTON","All",15.4242424242424,2.83961322426194
"ISP_THORNTON","LB",16.9090909090909,0.301511344577764
"ISP_THORNTON","Center",14.7045454545455,3.2391467829672
"ISP_THORNTON","RB",16.8181818181818,0.603022689155527
"ISP_VENEMA","All",16.4090909090909,1.3697531807679
"ISP_VENEMA","LB",17,0
"ISP_VENEMA","Center",16.1136363636364,1.60255477852765
"ISP_VENEMA","RB",17,0
"ISP_ZACKUSE","All",16.7272727272727,0.668993608005673
"ISP_ZACKUSE","LB",17,0
"ISP_ZACKUSE","Center",16.6363636363636,0.780307306514826
"ISP_ZACKUSE","RB",16.8181818181818,0.404519917477945
